,Titre,Description,URL,Vrai_ou_Faux,Date_Publication,Date_Maj,Auteurs,Site
1109,«Coralie Van Der Beekenfrites»: Comment une intox sur la mort d’une «gilet jaune» belge est devenue virale,"Samedi, à la fin de « l'acte VIII » des « gilets jaunes », la rumeur de la disparition d'une mère de famille belge tuée par un tir de flash-ball a embrasé les réseaux sociaux... ",https://www.20minutes.fr/societe/2409843-20190107-coralie-van-der-beekenfrites-comment-intox-mort-gilet-jaune-belge-devenue-virale,,le 07/01/19 à 12h34,le 07/01/19 à 13h44,Alexis Orsini,20minutes
1110,"Non, une publicité en soutien à Emmanuel Macron n'a pas été affichée à Paris",Une affiche sur laquelle il est écrit « Tenez bon président Macron » a été partagée sur les réseaux sociaux. C'est un montage...,https://www.20minutes.fr/societe/2408763-20190105-non-publicite-soutien-emmanuel-macron-affichee-paris,Faux,le 05/01/19 à 17h21,le 07/01/19 à 16h29,Mathilde Cousin,20minutes
1111,"Sapin de Noël détruit, tirs de «Flash-Ball»... Attention aux intox de la semaine",Soyez forts contre les fausses nouvelles...,https://www.20minutes.fr/societe/2408431-20190105-sapin-noel-detruit-tirs-flash-ball-attention-intox-semaine,Faux,le 05/01/19 à 11h35,le 05/01/19 à 11h35,M.Co.,20minutes
1112,«Gilets jaunes»: Le vrai du faux sur les droits des manifestants,"De nombreuses idées reçues circulent, chez les « gilets jaunes », autour de leurs droits en tant que manifestants...",https://www.20minutes.fr/societe/2408403-20190104-gilets-jaunes-vrai-faux-droits-manifestants,Faux,le 04/01/19 à 17h54,le 22/03/19 à 17h47,Alexis Orsini,20minutes
1113,"Non, cette militante brésilienne n'est pas la «personnalité de l'année» du «Time»","Une fausse une du magazine américain avec le portrait de Marielle Franco, assassinée en mars à Rio de Janeiro, circule...",https://www.20minutes.fr/monde/2408123-20190104-non-militante-bresilienne-personnalite-annee-time,Faux,le 04/01/19 à 15h36,le 04/01/19 à 15h36,Mathilde Cousin,20minutes
1114,Des Egyptiens ont-ils détruit un sapin parce qu’il représentait Noël?,"Une vidéo virale montre une foule arracher les décorations d'un sapin de Noël en Egypte, prétendument selon des motivations religieuses...",https://www.20minutes.fr/monde/2407739-20190103-egyptiens-detruit-sapin-parce-representait-noel,,le 03/01/19 à 18h21,le 04/01/19 à 18h00,Alexis Orsini,20minutes
1115,Cette photo montrant un «couple» de «gilets jaunes» est-elle authentique?,"Le cliché, qui montre deux « gilets jaunes » dans un moment de tendresse, est devenu viral sur Facebook...",https://www.20minutes.fr/societe/2407475-20190103-photo-montrant-couple-gilets-jaunes-authentique,,le 03/01/19 à 18h03,le 03/01/19 à 18h03,Mathilde Cousin,20minutes
1116,Manifestations: Les lanceurs de balles de défense utilisés par les forces de l'ordre sont-ils équipés d'un viseur?,"Selon un internaute, les « Flash-Ball sont équipés de viseurs holographiques, ce qui permet des tirs ultra-précis, pour atteindre à coup sûr le visage, voir crever un oeil... »",https://www.20minutes.fr/societe/2406987-20190103-manifestations-lanceurs-balles-defense-utilises-forces-ordre-equipes-viseur,,le 03/01/19 à 12h52,le 03/01/19 à 12h52,Mathilde Cousin,20minutes
1117,Des chasseurs mis en fuite par un lion? Retour sur une fausse vidéo virale,Une vidéo visionnée plus de 8 millions de fois sur Twitter montre un lion attaquer deux chasseurs qui posent devant la dépouille d’un de ses semblables…,https://www.20minutes.fr/planete/2407027-20190102-chasseurs-mis-fuite-lion-retour-fausse-video-virale,Faux,le 02/01/19 à 17h05,le 02/01/19 à 17h05,Alexis Orsini,20minutes
1118,Les amendes des radars sont-elles en partie redistribuées à des entreprises privées?,Une intox affirme que les amendes liées aux radars automatiques alimentent une « spéculation sur la sécurité routière » au profit d’entreprises privées…,https://www.20minutes.fr/societe/2406195-20181231-amendes-radars-elles-partie-redistribuees-entreprises-privees,,le 31/12/18 à 17h35,le 31/12/18 à 17h35,Alexis Orsini,20minutes
