,Titre,Description,URL,Vrai_ou_Faux,Date_Publication,Date_Maj,Auteurs,Site
0,Coronavirus : Olivier Véran s’est-il contredit à propos du calendrier de vaccination en France ?,Des internautes affirment que le ministre de la Santé s’est contredit en l’espace d’une journée à propos de la campagne de vaccination,https://www.20minutes.fr/societe/2964691-20210129-coronavirus-olivier-veran-contredit-propos-calendrier-vaccination-france,,le 29/01/21 à 11h06,le 29/01/21 à 11h06,Alexis Orsini,20minutes
1,"Coronavirus : Les élèves français, champions des jours de présence à l’école en 2020, comme l’affirme Jean-Michel Blanquer ?","Jean-Michel Blanquer a affirmé que la France était un des pays qui a connu le plus de jours d’école en 2020. La France est effectivement un des pays qui a le moins connu de fermetures, selon l’Unesco",https://www.20minutes.fr/societe/2962931-20210128-coronavirus-eleves-francais-champions-jours-presence-ecole-2020-comme-affirme-jean-michel-blanquer,,le 28/01/21 à 12h07,le 28/01/21 à 13h45,Mathilde Cousin,20minutes
2,"Coronavirus : Oui, le maire de Cabourg a annoncé le reconfinement avant de se rétracter","Le maire de Cabourg (Calvados) a ému la toile en affirmant, lors d'un conseil municipal diffusé en ligne, les modalités du reconfinement, qu'il a depuis démenti",https://www.20minutes.fr/societe/2961891-20210126-coronavirus-oui-maire-cabourg-annonce-reconfinement-avant-retracter,vrai,le 26/01/21 à 14h58,le 26/01/21 à 17h15,A.O.,20minutes
3,"Coronavirus : Un lien entre la mort d’Hank Aaron, légende du baseball, et le vaccin contre le Covid-19 ? La maire d’Atlanta l’écarte",L’ancien club de Hank Aaron a indiqué que le joueur mythique s’est éteint « paisiblement dans son sommeil »,https://www.20minutes.fr/sante/2960911-20210125-coronavirus-lien-entre-mort-hank-aaron-legende-baseball-vaccin-contre-covid-19-maire-atlanta-ecarte,,le 25/01/21 à 16h18,le 25/01/21 à 16h18,Mathilde Cousin,20minutes
4,Coronavirus : Brigitte Macron sans masque au chevet d’une enfant malade alors que l’épidémie sévit ? Faux,"Une capture d’écran – authentique – du « 20 Heures » de TF1 de dimanche circule sur Internet. La photo en arrière-plan, montrant Brigitte Macron, a elle été prise il y a un peu plus d’un an",https://www.20minutes.fr/high-tech/2959415-20210123-coronavirus-brigitte-macron-masque-chevet-enfant-malade-alors-epidemie-sevit-faux,Faux,le 23/01/21 à 09h15,le 23/01/21 à 09h15,Mathilde Cousin,20minutes
5,Coronavirus : les vaccins contre le Covid-19 fourrés à la puce 5G ? Retour sur une folle rumeur,"Cette semaine, Clémence s’intéresse à des posts prétendant que les vaccins contre le Covid-19 contiendraient des nanoparticules reliées à la 5G",https://www.20minutes.fr/societe/2959551-20210123-coronavirus-vaccins-contre-covid-19-fourres-puce-5g-retour-folle-rumeur,,le 23/01/21 à 09h05,le 23/01/21 à 09h05,Anne Kerloc'h,20minutes
6,"Non, Joe Biden n’a pas été snobé par la garde nationale lors de la cérémonie d'investiture",Une vidéo filmée lors de l'investiture du 46e président des Etats-Unis donne lieu à une rumeur sans fondement,https://www.20minutes.fr/societe/2959339-20210122-non-joe-biden-snobe-garde-nationale-lors-ceremonie-investiture,Faux,le 22/01/21 à 15h28,le 22/01/21 à 15h28,A.O.,20minutes
7,"Oui, François Bayrou a été photographié sans masque dans un aéroport",Le Haut-commissaire au Plan a expliqué avoir oublié de le remettre pendant « quelques minutes » après avoir bu un café,https://www.20minutes.fr/politique/2959075-20210122-oui-francois-bayrou-photographie-masque-aeroport,vrai,le 22/01/21 à 12h21,le 22/01/21 à 12h21,M.Co.,20minutes
8,"Coronavirus : Oui, un hôpital offre des badges aux personnes vaccinées (et ça n’a rien d’exceptionnel)",Des internautes se sont émus de voir un hôpital proposer des badges aux personnes vaccinées contre le Covid-19,https://www.20minutes.fr/societe/2958619-20210122-coronavirus-oui-hopital-offre-badges-personnes-vaccinees-ca-rien-exceptionnel,vrai,le 22/01/21 à 10h59,le 22/01/21 à 12h25,Alexis Orsini,20minutes
9,Vaccination : Qui doit fournir les aiguilles et les seringues ? Polémique entre Olivier Véran et des élus locaux,"Florence Portelli, maire LR de Taverly, dans le Val d'Oise, a expliqué avoir dû fournir le petit matériel nécessaire au centre de vaccination anti-Covid-19 de sa ville, alors que cette compétence revient à l'Etat",https://www.20minutes.fr/societe/2958143-20210121-vaccin-anti-covid-doit-fournir-aiguilles-seringues-polemique-entre-olivier-veran-elus-locaux,,le 21/01/21 à 17h20,le 21/01/21 à 17h43,Mathilde Cousin,20minutes
10,Coronavirus : Des maires ont-ils planifié trop de rendez-vous de vaccination sans avoir les doses ?,"Selon le ministre de la Santé, des maires auraient planifié trop de rendez-vous de vaccination dans l’espoir d’obtenir plus de doses",https://www.20minutes.fr/societe/2958439-20210121-coronavirus-maires-planifie-trop-rendez-vaccination-avoir-doses,,le 21/01/21 à 14h53,le 22/01/21 à 15h28,Alexis Orsini,20minutes
11,Coronavirus : Le nombre officiel des hospitalisations est-il différent des chiffres dans les CHU ?,"Un article de « Nice-Matin », cité notamment par Marion Maréchal, alimente les suspicions sur la réalité des chiffres d’hospitalisation du Covid-19 en France",https://www.20minutes.fr/societe/2957555-20210120-coronavirus-nombre-officiel-hospitalisations-different-chiffres-chu,,le 20/01/21 à 17h42,le 20/01/21 à 18h15,Alexis Orsini,20minutes
12,"Etats-Unis : Non, une fanfare n’a pas joué « Hit the road Jack » à Donald Trump pour son départ",Une vidéo d’une fanfare répétant pour la cérémonie d’investiture de Joe Biden et Kamala Harris a été détournée,https://www.20minutes.fr/monde/2957347-20210120-etats-unis-non-fanfare-joue-hit-the-road-jack-donald-trump-depart,Faux,le 20/01/21 à 15h37,le 20/01/21 à 15h37,M.Co.,20minutes
13,"Coronavirus : Non, des collégiens ne sont pas mis à l’isolement s’ils refusent de se faire tester","Un formulaire relayé sur Facebook, censé émaner d’un collège français, interroge de nombreux internautes",https://www.20minutes.fr/societe/2956567-20210119-coronavirus-non-collegiens-mis-isolement-refusent-faire-tester,Faux,le 19/01/21 à 16h12,le 19/01/21 à 16h12,Alexis Orsini,20minutes
14,Covid-19 : Les chiffres des morts du coronavirus ont-ils été trafiqués ? La réponse dans « OMF Oh my fake »,"Cette semaine, Clémence s'intéresse à des calculs de mortalité faussement présentés comme émanants de l 'INSEE",https://www.20minutes.fr/societe/2953983-20210115-covid-19-chiffres-morts-coronavirus-trafiques-reponse-omf-oh-my-fake,Faux,le 16/01/21 à 11h05,le 18/01/21 à 06h28,Anne Kerloc'h,20minutes
15,"Coronavirus : Les lieux culturels sont-ils majoritairement fermés en Europe, comme l’affirme Bachelot ?","Roselyne Bachelot a cité l'exemple de nos voisins européens pour justifier la prolongation de la fermeture des cinémas, salles de spectacles et musées en France",https://www.20minutes.fr/politique/2953791-20210116-coronavirus-lieux-culturels-majoritairement-fermes-europe-comme-affirme-bachelot,,le 16/01/21 à 09h15,le 16/01/21 à 09h15,Mathilde Cousin,20minutes
16,"Coronavirus : Non, un « pass sanitaire » de vaccination n’est pas exigé dans les magasins E. Leclerc",Certains internautes s’imaginent le pire à la vue d’un panneau informatif de l’enseigne E. Leclerc relatif à un « pass sanitaire »,https://www.20minutes.fr/societe/2953895-20210115-coronavirus-non-pass-sanitaire-vaccination-exige-magasins-e-leclerc,Faux,le 15/01/21 à 17h50,le 15/01/21 à 17h51,A.O.,20minutes
17,"Vaccination : Oui, cette photographie attestant des bienfaits du vaccin contre la variole est vraie",Plusieurs internautes ont crié au montage en découvrant une photographie censée attester de l’efficacité du vaccin contre la variole sur la population au début du XXe siècle,https://www.20minutes.fr/societe/2953831-20210115-vaccination-oui-photographie-attestant-bienfaits-vaccin-contre-variole-vraie,vrai,le 15/01/21 à 17h03,le 15/01/21 à 17h09,Tom Hollmann,20minutes
18,Des patients décédés du Covid-19 après leur vaccination dans une maison de retraite aux Etats-Unis ? L’établissement dément,"S'il y a bien eu 24 décès du coronavirus dans l'établissement, la propagation du virus a commencé avant la vaccination",https://www.20minutes.fr/monde/2951895-20210115-patients-decedes-covid-19-apres-vaccination-maison-retraite-etats-unis-etablissement-dement,Faux,le 15/01/21 à 08h05,le 15/01/21 à 08h05,Mathilde Cousin,20minutes
19,Vaccination aux Etats-Unis : Des investigations en cours après le décès d’un médecin à Miami,"Gregory Michael, obstétricien et gynécologue, est décédé seize jours après avoir été vacciné contre le coronavirus en Floride, aux Etats-Unis. Si la cause de sa mort n’a pas encore pu être établie par les autorités de santé, les investigations sont toujours en cours",https://www.20minutes.fr/societe/2952967-20210114-vaccination-contre-coronavirus-investigations-cours-apres-deces-medecin-miami,,le 14/01/21 à 18h22,le 17/01/21 à 19h17,Tom Hollmann,20minutes
20,"Coronavirus : Non, des commandes de tests n’ont pas été faites dès 2018",Une rumeur est actuellement relayée sur les réseaux sociaux,https://www.20minutes.fr/societe/2952975-20210114-coronavirus-non-commandes-tests-faites-2018,Faux,le 14/01/21 à 17h10,le 14/01/21 à 17h10,A.O.,20minutes
21,"Vaccination en Ehpad : Non, le consentement ne doit pas être recueilli par écrit","Relayé sur les réseaux sociaux, un e-mail laisse penser, à tort, à un changement de protocole dans le recueil du consentement à la vaccination contre le coronavirus dans les Ehpad",https://www.20minutes.fr/societe/2952023-20210113-vaccination-ehpad-non-consentement-doit-etre-recueilli-ecrit,Faux,le 13/01/21 à 18h01,le 13/01/21 à 18h01,Alexis Orsini,20minutes
22,"Coronavirus : Non, Pfizer-Biotech n’avait pas commandé massivement des flacons de vaccin avant l’épidémie",Des internautes s’émeuvent d’une supposée commande massive de flacons pour vaccin des mois avant l’épidémie de Covid-19,https://www.20minutes.fr/societe/2951091-20210112-covid-19-non-pfizer-biotech-commande-massivement-flacons-vaccin-avant-epidemie,Faux,le 12/01/21 à 18h03,le 13/01/21 à 10h52,Alexis Orsini,20minutes
23,"Coronavirus : Non, les universités ne sont pas tenues d’organiser des sessions de substitution pour les étudiants malades","Après avoir indiqué que les universités devaient organiser des sessions de substitution pour les étudiants souffrant du Covid-19 ou cas contact, le ministère de l’Enseignement supérieur a finalement précisé que celles-ci sont facultatives",https://www.20minutes.fr/societe/2950079-20210111-coronavirus-non-universites-tenues-organiser-sessions-substitution-etudiants-malades,Faux,le 11/01/21 à 18h55,le 16/01/21 à 10h47,Mathilde Cousin,20minutes
24,Le pape François arrêté pour « trafic d’êtres humains » et pédopornographie ? C’est faux !,"D’après un article mensonger devenu viral sur les réseaux sociaux, le pape François aurait été arrêté au Vatican sous le coup de plus de 80 chefs d’accusation",https://www.20minutes.fr/societe/2950155-20210111-pape-francois-arrete-trafic-etres-humains-pedopornographie-faux,Faux,le 11/01/21 à 17h17,le 12/01/21 à 15h59,Tom Hollmann,20minutes
25,"Paris : Enquête ouverte après la « disparition inquiétante » de Diary Sow, brillante étudiante sénégalaise","Le consulat du Sénégal à Paris a lancé un appel pour retrouver la jeune femme, âgée de 20 ans. Une enquête a été ouverte, confiée à la police judiciaire",https://www.20minutes.fr/paris/2949863-20210111-paris-enquete-ouverte-apres-disparition-inquietante-diary-sow-brillante-etudiante-senegalaise,,le 11/01/21 à 12h34,le 11/01/21 à 12h35,M. Co. (avec T C.),20minutes
26,Coronavirus : Emmanuel Macron a-t-il fait appel à un sosie ? Retour sur une rumeur dans « Oh my fake »,"Cette semaine, on se penche sur une drôle histoire qui a fait voir double à certains",https://www.20minutes.fr/noel/2948011-20210109-coronavirus-emmanuel-macron-fait-appel-sosie-retour-rumeur-oh-my-fake,,le 09/01/21 à 10h05,le 09/01/21 à 10h05,Anne Kerloc'h,20minutes
27,Coronavirus : La France est-elle le seul pays européen à offrir des tests PCR gratuits pour tous ? On a vérifié cette déclaration de Jean Castex,"Selon le Premier ministre, les citoyens qui effectuent ces tests de leur propre initiative payent de leur poche en Allemagne, en Espagne ou au Royaume-Uni. Pourtant, la Bavière a fait, elle, le choix de proposer ces tests à tous ses résidents",https://www.20minutes.fr/sante/2948227-20210109-coronavirus-france-seul-pays-europeen-offrir-tests-pcr-gratuits-tous-verifie-declaration-jean-castex,,le 09/01/21 à 09h05,le 11/01/21 à 10h11,Mathilde Cousin,20minutes
28,Des produits toxiques pour les chats pulvérisés par Amazon sur ses colis ? C’est faux !,"Plusieurs publications Facebook affirment que le géant du e-commerce Amazon pulvérise des produits chimiques sur ses emballages en carton et mettrait, par la même occasion, nos animaux domestiques en danger. Le groupe dément",https://www.20minutes.fr/societe/2948207-20210108-produits-toxiques-chats-pulverises-amazon-colis-faux,Faux,le 08/01/21 à 16h22,le 08/01/21 à 16h42,Tom Hollmann,20minutes
29,"Coronavirus : Les tests antigéniques suspendus pour cause de faux positif ? Non, le retrait concerne une seule marque","D’après une publication circulant activement sur les réseaux sociaux, une note urgente de la direction générale de la Santé prouverait que l’ensemble des tests antigéniques auraient été suspendus pour cause de résultats faussement positifs au Covid-19",https://www.20minutes.fr/societe/2946595-20210108-coronavirus-tests-antigeniques-suspendus-cause-faux-positif-non-retrait-concerne-seule-marque,Faux,le 08/01/21 à 10h08,le 11/01/21 à 17h50,Tom Hollmann,20minutes
30,"Violences à Washington : Non, cet émeutier n’est pas un « antifa », mais un soutien de Donald Trump","Des partisans de Donald Trump ont soutenu que l’homme, dont les photos au sein du Capitole ont fait le tour du monde, ne serait pas un partisan du président, mais un « antifa ». Inculpé vendredi 9 janvier, Jack Angeli a expliqué à plusieurs reprises soutenir la théorie du complot QAnon",https://www.20minutes.fr/monde/2947299-20210107-violences-washington-non-emeutier-antifa-soutien-donald-trump,Faux,le 07/01/21 à 19h16,le 11/01/21 à 13h01,Mathilde Cousin,20minutes
31,"Coronavirus : Troisième confinement, « Covid-21 »… Attention à ce faux « programme » du haut commissariat au plan","Sur les réseaux sociaux, un « programme du haut-commissariat au plan », annonçant des mesures toutes plus ubuesques les unes que les autres pour lutter contre le Covid-19, est devenu viral",https://www.20minutes.fr/societe/2947343-20210107-coronavirus-troisieme-confinement-covid-21-attention-faux-programme-haut-commissariat-plan,Faux,le 07/01/21 à 16h07,le 07/01/21 à 16h07,Tom Hollmann,20minutes
32,"Vaccination : Non, un document de 58 pages n’est pas remis aux résidents des Ehpad, comme le soutient Gérard Larcher",Le président du Sénat s'est indigné que le document de consentement à la vaccination contre le Covid-19 remis dans les Ehpad soit long de 58 pages. Le document est en réalité bien plus court,https://www.20minutes.fr/politique/2947219-20210107-vaccination-non-document-58-pages-remis-residents-ehpad-comme-soutient-gerard-larcher,Faux,le 07/01/21 à 13h39,le 07/01/21 à 13h39,M.Co.,20minutes
33,Vaccination : Faut-il retarder l'administration de la deuxième dose du vaccin de Pfizer contre le Covid-19 ? Les experts sont partagés,"Le Royaume-Uni, le Danemark et désormais la France ont choisi de retarder l'injection de cette dose afin de vacciner, même partiellement, un plus grand nombre de personnes contre le Covid-19. Une stratégie qui divise les experts",https://www.20minutes.fr/sante/2946111-20210107-vaccination-faut-retarder-administration-deuxieme-dose-vaccin-pfizer-contre-covid-19-experts-partages,,le 07/01/21 à 08h05,le 07/01/21 à 19h06,Mathilde Cousin,20minutes
34,Vaccination : Des cas de décès liés au vaccin anti-Covid ? Aucun élément ne le confirme à ce stade,"Pour l'heure, aucun élement ne permet de lier la vaccination contre le Covid-19 aux trois cas de décès recensés sur les réseaux sociaux",https://www.20minutes.fr/monde/2945571-20210105-vaccination-cas-deces-lies-vaccin-anti-covid-aucun-element-confirme-stade,Faux,le 05/01/21 à 18h31,le 06/01/21 à 11h48,Tom Hollmann,20minutes
35,Le gouvernement a-t-il fait voter une loi en septembre pour protéger Agnès Buzyn à l’OMS ? C’est faux,"L’ex-ministre de la Santé a confirmé ce mardi qu’elle allait travailler pour l’OMS. Des internautes ont exhumé un projet accordant une protection diplomatique aux fonctionnaires de l’OMS, mais cet accord ne concerne pas celle qui est visée par une enquête en France",https://www.20minutes.fr/societe/2945323-20210105-gouvernement-fait-voter-loi-septembre-proteger-agnes-buzyn-oms-faux,Faux,le 05/01/21 à 17h50,le 05/01/21 à 17h51,Mathilde Cousin,20minutes
36,"Electricité, essence, tabac… Des augmentations massives en 2021 ? Attention à cette illustration mensongère virale","Un visuel trompeur, vu plusieurs millions de fois sur Facebook, laisse penser que des augmentations massives de taxe sont entrées en vigueur au 1er janvier 2021. Cette illustration a plus de deux ans",https://www.20minutes.fr/societe/2944687-20210105-electricite-essence-tabac-augmentations-massives-2021-attention-illustration-mensongere-virale,Faux,le 05/01/21 à 08h05,le 05/01/21 à 19h49,Tom Hollmann,20minutes
37,Coronavirus : Des tests négatifs sont bien demandés aux voyageurs en provenance de certains pays,"Un lecteur nous a demandé de vérifier une déclaration de Nicolas Dupont-Aignan, président du parti Debout la France, sur les tests aux frontières",https://www.20minutes.fr/politique/2944415-20210104-coronavirus-tests-negatifs-bien-demandes-voyageurs-provenance-certains-pays,,le 04/01/21 à 17h32,le 04/01/21 à 17h32,Mathilde Cousin,20minutes
38,« Hold-Up » : Les producteurs du documentaire complotiste ont récolté près de 150.000 euros sur la plateforme Tipeee,"La plateforme de financement participatif devrait bien verser les 145.000 euros collectés auprès de plus de 8.000 contributeurs à TProd, la boîte de production du documentaire",https://www.20minutes.fr/high-tech/2943479-20210102-hold-up-producteurs-documentaire-complotiste-recolte-pres-150000-euros-plateforme-tipeee,,le 02/01/21 à 12h31,le 02/01/21 à 13h02,H. B.,20minutes
39,Quiz : Avez-vous été forts contre les fausses nouvelles en 2020 ?,Faites notre test pour découvrir votre score (et dites-nous combien vous avez eu !),https://www.20minutes.fr/societe/2942735-20201231-quiz-forts-contre-fausses-nouvelles-2020,Faux,le 31/12/20 à 17h16,le 31/12/20 à 17h16,M. Co. et A. O.,20minutes
40,Coronavirus : « Aucune poursuite juridique possible » en cas d’effet secondaire après la vaccination ? C’est faux !,"L’Ordre des médecins a annoncé le 24 décembre que les professionnels de santé et leurs patients, bénéficieront, dans le cadre de la campagne vaccinale contre le Covid-19, de la même sécurité juridique que dans le cadre d’une vaccination obligatoire. « 20 Minutes » détaille l’intérêt d’une telle mesure.",https://www.20minutes.fr/societe/2942315-20201231-coronavirus-aucune-poursuite-juridique-possible-cas-effet-secondaire-apres-vaccination-faux,Faux,le 31/12/20 à 15h51,le 31/12/20 à 15h51,Tom Hollmann,20minutes
41,« Oh my fake Awards 2020 » : Et les meilleures « infox » de l’année sont…,"L’année 2020 a été très riche en infos, mais aussi en infox. Voici le Top 3 selon « Oh my fake »",https://www.20minutes.fr/societe/2941311-20201231-oh-my-fake-awards-2020-meilleures-infox-annee,Faux,le 31/12/20 à 04h05,le 03/01/21 à 18h16,Th.L.,20minutes
42,Coronavirus : Une femme de 90 ans forcée de s’isoler car elle refuse le vaccin ? La résidence dément,La direction de cet établissement pour retraités explique à « 20 Minutes » que les résidents qui refuseront la vaccination pourront encore participer aux activités communes,https://www.20minutes.fr/societe/2942099-20201230-coronavirus-femme-90-ans-forcee-isoler-car-refuse-vaccin-residence-dement,Faux,le 30/12/20 à 18h22,le 30/12/20 à 18h25,Mathilde Cousin,20minutes
43,"Coronavirus : Que prévoit exactement le fichier « Vaccin Covid », qui inquiète la Toile ?","Initié par le gouvernement pour assurer le suivi de la campagne vaccinale contre le coronavirus, le fichier « Vaccin Covid » soulève des inquiétudes sur les réseaux sociaux. Secret médical, données personnelles… « 20 Minutes » vous détaille ses dispositions",https://www.20minutes.fr/societe/2941499-20201230-coronavirus-prevoit-exactement-fichier-vaccin-covid-inquiete-toile,,le 30/12/20 à 12h26,le 30/12/20 à 12h26,Tom Hollmann,20minutes
44,"Coronavirus : Non, la vaccination n’est pas interdite aux personnes qui ont déjà été contaminées","Dans un tweet, un internaute s’inquiète de voir la vaccination contre le Covid-19 interdite aux personnes ayant déjà été atteintes par la maladie",https://www.20minutes.fr/societe/2941615-20201230-coronavirus-non-vaccination-interdite-personnes-deja-contaminees,Faux,le 30/12/20 à 09h35,le 30/12/20 à 18h06,Alexis Orsini,20minutes
45,"Coronavirus : Non, le risque d'un choc anaphylactique n’est pas propre au vaccin",Un message de la Direction générale de la santé est relayé sur Facebook par des internautes qui y voient la preuve du grave danger du vaccin contre le Covid-19,https://www.20minutes.fr/societe/2940963-20201229-coronavirus-non-risque-choc-anaphylactique-propre-vaccin,Faux,le 29/12/20 à 17h36,le 31/12/20 à 16h01,Alexis Orsini,20minutes
46,"Coronavirus : Non, le PDG de Pfizer n'a pas « refusé » de se faire vacciner",Cette fausse affirmation se répand sur les réseaux sociaux,https://www.20minutes.fr/sante/2941327-20201229-coronavirus-pdg-pfizer-refuse-faire-vacciner-faux,Faux,le 29/12/20 à 16h22,le 29/12/20 à 18h11,M.Co.,20minutes
47,Gérald Darmanin surpris en flagrant délit de mensonge ? Retour sur une interview virale avec Oh my fake,Les propos du ministre de l’Intérieur et la polémique qui s'en est suivie décryptés par Clémence,https://www.20minutes.fr/societe/2939955-20201226-gerald-darmanin-surpris-flagrant-delit-mensonge-retour-interview-virale-oh-my-fake,,le 26/12/20 à 10h58,le 26/12/20 à 10h58,Anne Kerloc'h,20minutes
48,Le projet de loi sur les urgences sanitaires examiné en janvier malgré la promesse de report du gouvernement ?,Des internautes ayant examiné le calendrier parlementaire soupçonnent le gouvernement de ne pas avoir réellement reporté l’examen du projet de loi controversé,https://www.20minutes.fr/societe/2938811-20201224-projet-loi-urgences-sanitaires-examine-janvier-malgre-promesse-report-gouvernement,,le 24/12/20 à 13h20,le 24/12/20 à 16h53,Alexis Orsini,20minutes
49,Coronavirus : Attention à ces publications affirmant que des vaccins anti-Covid provoqueraient des infections au VIH,"Une publication sur Twitter laisse penser que des vaccins contre le Covid-19 provoqueraient des infections au VIH. Si une publication de la revue « The Lancet » est à l’origine de la polémique, la réalité est bien plus complexe",https://www.20minutes.fr/societe/2938007-20201223-coronavirus-attention-publications-affirmant-vaccins-anti-covid-provoqueraient-infections-vih,Faux,le 23/12/20 à 17h17,le 23/12/20 à 17h17,Tom Hollmann,20minutes
50,Coronavirus : Le ministre de la Santé suisse a posé avec des mannequins dans un hôpital ? Faux,Une photo mal légendée a semé la confusion,https://www.20minutes.fr/monde/2938527-20201223-coronavirus-ministre-sante-suisse-pose-mannequins-hopital-faux,Faux,le 23/12/20 à 16h43,le 23/12/20 à 16h49,Mathilde Cousin,20minutes
51,Coronavirus : La France dément s’être opposée à la commande de doses supplémentaires du vaccin Pfizer/BioNTech,"Le ministre allemand de la Santé aurait poussé pour que l’UE achète davantage de doses de ce vaccin, mais la France s’y serait opposée. La Commission européenne et le gouvernement français ont démenti",https://www.20minutes.fr/politique/2937707-20201223-coronavirus-france-dement-etre-opposee-commande-doses-supplementaires-vaccin-pfizerbiontech,Faux,le 23/12/20 à 08h35,le 23/12/20 à 08h35,Mathilde Cousin,20minutes
52,"Oui, Pôle emploi pourra contrôler les informations bancaires de ses allocataires soupçonnés de fraude",Des internautes dénoncent l’attribution de nouvelles compétences à Pôle emploi vis-à-vis de ses allocataires,https://www.20minutes.fr/societe/2937943-20201222-oui-pole-emploi-pourra-controler-informations-bancaires-allocataires-soupconnes-fraude,vrai,le 22/12/20 à 18h03,le 22/12/20 à 18h03,Alexis Orsini,20minutes
53,Classement NewsGuard des médias fiables : « 20 Minutes » décroche la deuxième place,"« 20 Minutes » est classé à la seconde place des sites les plus fiables selon NewsGuard, tandis que le « mésinformateur » le plus influent s’appelle LesMoutonsRebelles.com",https://www.20minutes.fr/arts-stars/medias/2937319-20201221-classement-newsguard-medias-fiables-20-minutes-decroche-deuxieme-place,,le 21/12/20 à 18h24,le 06/01/21 à 10h52,A.L.,20minutes
54,"Coronavirus : Non, une infirmière américaine n'est pas morte après avoir été vaccinée contre le Covid-19","Tiffany Dover s’était évanouie après avoir été vaccinée, des images qui ont précipité des rumeurs sur son décès. L’infirmière a expliqué perdre connaissance régulièrement. Son hôpital a démenti sa mort",https://www.20minutes.fr/monde/2936959-20201221-coronavirus-non-infirmiere-americaine-morte-apres-avoir-vaccinee-contre-covid-19,Faux,le 21/12/20 à 18h20,le 23/12/20 à 17h41,Mathilde Cousin,20minutes
55,Quels sont les sites qui ont publié le plus d'intox sur le coronavirus en France ?,L’entreprise NewsGuard a listé les 10 sites qui ont le plus contribué à stimuler les conversations trompeuses sur le Covid-19,https://www.20minutes.fr/high-tech/2936119-20201221-sites-publie-plus-intox-coronavirus-france,Faux,le 21/12/20 à 07h05,le 21/12/20 à 09h40,H. B.,20minutes
56,"Annecy : Verbalisé alors qu’il affirme ne pas avoir été contrôlé, comment un manifestant a-t-il été identifié ?","Le 5 décembre, Cemil Sanli a participé à une manifestation contre le projet de loi sécurité globale à Annecy. Il a ensuite reçu deux amendes à son domicile",https://www.20minutes.fr/societe/2935507-20201219-annecy-verbalise-alors-affirme-avoir-controle-comment-manifestant-identifie,,le 19/12/20 à 10h00,le 19/12/20 à 10h00,Mathilde Cousin,20minutes
57,"Coronavirus : Non, l’ivermectine n’est pas un médicament « très efficace » contre la maladie","Selon ses défenseurs, l'ivermectine serait efficace contre le Covid-19 à tous les stades de la maladie",https://www.20minutes.fr/societe/2935679-20201219-coronavirus-non-ivermectine-medicament-tres-efficace-contre-maladie,Faux,le 19/12/20 à 09h35,le 19/12/20 à 09h35,Alexis Orsini,20minutes
58,"Coronavirus : Des drones pour surveiller les fêtes de fin d’année ? Oui, mais en Belgique !","D’après une publication virale sur Facebook, la police pourrait déployer des drones équipés de caméras thermiques afin de surveiller le respect des règles sanitaires entre Noël et le Nouvel an",https://www.20minutes.fr/societe/2935607-20201218-coronavirus-drones-surveiller-fetes-fin-annee-oui-belgique,vrai,le 18/12/20 à 17h31,le 19/12/20 à 12h14,Tom Hollmann,20minutes
59,Lille : Une lycéenne transgenre s’est-elle suicidée après une altercation avec une surveillante ?,"Réseaux sociaux, associations, politiques et médias se sont emballés sur les raisons qui ont poussé une lycéenne transgenre de 17 ans à mettre fin à ses jours dans son foyer d’accueil lillois mardi dernier",https://www.20minutes.fr/societe/2935443-20201218-lille-lyceenne-transgenre-suicidee-apres-altercation-surveillante,,le 18/12/20 à 14h53,le 18/12/20 à 15h09,Mikaël Libert,20minutes
60,"Non, La Poste ne facture pas seulement 7 centimes d’euros à Amazon par colis distribué",Des internautes accusent La Poste de brader ses prix au profit de la multinationale américaine,https://www.20minutes.fr/societe/2933939-20201217-non-poste-facture-seulement-7-centimes-euros-amazon-colis-distribue,Faux,le 17/12/20 à 07h05,le 17/12/20 à 11h23,Alexis Orsini,20minutes
61,"Louis Fouché, un médecin marseillais, a-t-il été mis en examen sur ordre du préfet de Paris ? Gare à la rumeur","Une fausse capture d'écran de France 3 vise Louis Fouché, qui s'était opposé au reconfinement",https://www.20minutes.fr/marseille/2933491-20201216-louis-fouche-medecin-marseillais-mis-examen-ordre-prefet-paris-gare-rumeur,Faux,le 16/12/20 à 19h41,le 17/12/20 à 15h15,Mathilde Cousin,20minutes
62,Les policiers peuvent-ils manifester malgré leur devoir de réserve ?,"Une centaine de policiers ont participé, lundi soir, à un rassemblement devant l’Arc de Triomphe, à Paris, pour protester contre les propos d’Emmanuel Macron sur les contrôles au faciès. Ils seront convoqués en vue d'une sanction",https://www.20minutes.fr/societe/2933911-20201216-policiers-peuvent-manifester-malgre-devoir-reserve,,le 16/12/20 à 19h08,le 17/12/20 à 14h23,Tom Hollmann,20minutes
63,Loi « sécurité globale » : Des policiers ont-ils illégalement photographié la carte d'identité d'un manifestant à Paris ?,"Une séquence tournée à Paris lors de la manifestation contre le projet de loi « sécurité globale », samedi 12 décembre, alimente les accusations de « fichage » contre la police",https://www.20minutes.fr/high-tech/2933703-20201216-loi-securite-globale-policiers-illegalement-photographie-carte-identite-manifestant-paris,,le 16/12/20 à 17h19,le 18/12/20 à 11h15,Alexis Orsini,20minutes
